job_name,task_name,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
pai-pod-000744,tensorflow,Terminated,1097711.0,1099323.0,600.0,29.296875,100.0,T4
pai-pod-000745,tensorflow,Terminated,1097712.0,1099445.0,600.0,29.296875,100.0,T4
pai-pod-000746,tensorflow,Terminated,1097712.0,1099264.0,600.0,29.296875,100.0,T4
pai-pod-000747,tensorflow,Terminated,1097712.0,1099325.0,600.0,29.296875,100.0,T4
pai-pod-000748,tensorflow,Terminated,1097713.0,1098039.0,600.0,29.296875,100.0,T4
pai-pod-000749,tensorflow,Terminated,1097714.0,1100773.0,600.0,29.296875,100.0,T4
pai-pod-000750,tensorflow,Terminated,1097717.0,1099268.0,600.0,29.296875,100.0,T4
pai-pod-000751,tensorflow,Terminated,1097717.0,1101187.0,600.0,29.296875,100.0,T4
pai-pod-000752,tensorflow,Terminated,1097748.0,1109618.0,600.0,29.296875,25.0,MISC
pai-pod-000753,tensorflow,Terminated,1097765.0,1097830.0,600.0,29.296875,100.0,T4
pai-pod-000754,tensorflow,Terminated,1097832.0,1101264.0,600.0,29.296875,100.0,MISC
pai-pod-000755,tensorflow,Terminated,1097854.0,1097918.0,600.0,29.296875,100.0,T4
